formula,target
Br2Cu12P2S10,1.945795
Cd12K8Se16,2.2727
Cl16Re4Te8,3.129293
Cu4O14V4,3.178532
F20Hg2O4Te4,4.119496
Li4O14Ti6,4.322204
In4Sr2Te8,1.53738
Fe6Lu6O18,2.571187
Na2S1,3.494743
Ag6O8P2,1.743059
As8Co8O20,3.594704
H16K2N6,3.624445
P16Se16,3.083345
Al16S24,2.612279
Li12S12Sb4,3.057002
As16Ga8Rb16,1.446988
Cu3K3P2,2.08304
B6Na6S12,3.497396
Al1Sb1,1.875019
Ag16N8O8S4,1.981923
Ag20Ge4O16,1.6710920000000002
Sb8Zn8,0.6295000000000002
Cs2H8O10Sb2,5.097507
